SYMBOL,OPEN,DATE,NORMDATE,VOLUME
FB,28.01,02262013,1,31579420
FB,27.34,02272013,2,44203880
FB,26.84,02282013,3,82952930
FB,27.05,03012013,4,54032140
FB,27.76,03042013,5,32363520
FB,27.88,03052013,6,40184170
FB,28.10,03062013,7,33464760
FB,27.57,03072013,8,74408360
FB,28.43,03082013,9,44161320
FB,28.01,03112013,10,35585960
EPAY,26.28,02262013,1,443842
EPAY,26.70,02272013,2,343179
EPAY,27.20,02282013,3,262821
EPAY,26.90,03012013,4,297274
EPAY,27.47,03042013,5,321933
EPAY,27.38,03052013,6,278871
EPAY,27.60,03062013,7,309123
EPAY,28.53,03072013,8,425037
EPAY,28.33,03082013,9,359761
EPAY,28.16,03112013,10,155354