GEO.id,GEO.id2,GEO.display-label,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC06,HC02_VC06,HC03_VC06,HC04_VC06,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC115,HC02_VC115,HC03_VC115,HC04_VC115,HC01_VC128,HC02_VC128,HC03_VC128,HC04_VC128,HC01_VC130,HC02_VC130,HC03_VC130,HC04_VC130,HC01_VC137,HC02_VC137,HC03_VC137,HC04_VC137,HC01_VC138,HC02_VC138,HC03_VC138,HC04_VC138,HC01_VC139,HC02_VC139,HC03_VC139,HC04_VC139,HC01_VC141,HC02_VC141,HC03_VC141,HC04_VC141,HC01_VC143,HC02_VC143,HC03_VC143,HC04_VC143,HC01_VC144,HC02_VC144,HC03_VC144,HC04_VC144,HC01_VC146,HC02_VC146,HC03_VC146,HC04_VC146,HC01_VC148,HC02_VC148,HC03_VC148,HC04_VC148,HC01_VC150,HC02_VC150,HC03_VC150,HC04_VC150,HC01_VC152,HC02_VC152,HC03_VC152,HC04_VC152,HC01_VC156,HC02_VC156,HC03_VC156,HC04_VC156,HC01_VC157,HC02_VC157,HC03_VC157,HC04_VC157,HC01_VC158,HC02_VC158,HC03_VC158,HC04_VC158,HC01_VC159,HC02_VC159,HC03_VC159,HC04_VC159,HC01_VC160,HC02_VC160,HC03_VC160,HC04_VC160,HC01_VC161,HC02_VC161,HC03_VC161,HC04_VC161,HC01_VC162,HC02_VC162,HC03_VC162,HC04_VC162,HC01_VC163,HC02_VC163,HC03_VC163,HC04_VC163,HC01_VC164,HC02_VC164,HC03_VC164,HC04_VC164,HC01_VC167,HC02_VC167,HC03_VC167,HC04_VC167,HC01_VC168,HC02_VC168,HC03_VC168,HC04_VC168,HC01_VC170,HC02_VC170,HC03_VC170,HC04_VC170,HC01_VC171,HC02_VC171,HC03_VC171,HC04_VC171,HC01_VC173,HC02_VC173,HC03_VC173,HC04_VC173
1600000US3300980,3300980,"Alton CDP, New Hampshire",253,202,63.4,28.3,253,202,63.4,28.3,0,85,0.0,7.2,125,100,52.7,31.2,125,100,52.7,31.2,125,100,52.7,31.2,125,101,53.0,31.5,88903,16600,(X),(X),111,88,47.0,31.5,14258,5039,(X),(X),48,45,20.3,23.8,18640,6093,(X),(X),0,85,0.0,11.9,-,**,(X),(X),49,76,20.8,28.5,161,5,(X),(X),22857,4669,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.0,17.3,(X),(X),0.0,21.1,(X),(X),0.0,71.2,(X),(X),0.0,23.6,(X),(X),0.0,30.9,(X),(X),0.0,71.2,(X),(X),0.0,41.6,(X),(X),0.0,41.6,(X),(X),-,**,(X),(X),0.0,12.8,(X),(X),0.0,12.8,(X),(X),0.0,16.9,(X),(X),12.3,18.6,(X),(X),0.0,34.6
1600000US3301220,3301220,"Amherst CDP, New Hampshire",448,149,80.0,11.4,448,149,80.0,11.4,0,85,0.0,5.2,169,73,71.9,16.7,169,73,71.9,16.7,169,73,71.9,16.7,245,69,96.5,6.1,150374,52157,(X),(X),92,47,36.2,16.7,21423,6856,(X),(X),32,30,12.6,13.2,27100,23065,(X),(X),0,85,0.0,11.1,-,**,(X),(X),0,85,0.0,11.1,-,**,(X),(X),61161,19676,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),4.3,7.0,(X),(X),0.0,29.7,(X),(X),0.0,52.0,(X),(X),4.3,7.0,(X),(X),0.0,29.7,(X),(X),0.0,52.0,(X),(X),-,**,(X),(X),-,**,(X),(X),-,**,(X),(X),0.0,19.5,(X),(X),0.0,19.5,(X),(X),0.0,26.1,(X),(X),7.2,8.7,(X),(X),0.0,16.7
1600000US3301620,3301620,"Antrim CDP, New Hampshire",836,136,71.3,6.9,836,136,71.3,6.9,82,51,7.0,4.1,483,125,68.9,9.8,483,125,68.9,9.8,434,108,61.9,9.0,470,70,81.7,6.0,62896,7857,(X),(X),194,54,33.7,8.6,16445,3115,(X),(X),75,43,13.0,7.7,12645,4017,(X),(X),15,17,2.6,2.8,7947,5583,(X),(X),17,18,3.0,3.3,5253,7193,(X),(X),24625,3379,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),1.3,1.9,(X),(X),2.7,3.9,(X),(X),0.0,79.0,(X),(X),0.0,12.1,(X),(X),0.0,21.6,(X),(X),0.0,79.0,(X),(X),0.0,22.9,(X),(X),0.0,38.4,(X),(X),-,**,(X),(X),2.4,3.8,(X),(X),2.4,3.8,(X),(X),1.5,2.2,(X),(X),5.0,3.0,(X),(X),9.0,7.7
1600000US3301940,3301940,"Ashland CDP, New Hampshire",398,149,58.6,12.8,398,149,58.6,12.8,42,37,6.2,5.3,241,105,57.7,14.8,241,105,57.7,14.8,220,104,52.6,15.5,257,81,64.1,13.3,45659,11226,(X),(X),132,41,32.9,10.7,16395,2521,(X),(X),48,26,12.0,6.4,19688,11538,(X),(X),13,14,3.2,3.5,16269,8310,(X),(X),18,28,4.5,6.8,250,12,(X),(X),19096,3445,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.9,14.7,(X),(X),20.9,23.4,(X),(X),27.7,30.6,(X),(X),0.0,22.2,(X),(X),0.0,38.4,(X),(X),0.0,38.4,(X),(X),36.8,34.7,(X),(X),40.0,37.3,(X),(X),60.9,50.1,(X),(X),17.0,20.2,(X),(X),17.0,20.2,(X),(X),0.0,43.5,(X),(X),14.5,7.2,(X),(X),20.9,18.5
1600000US3303620,3303620,"Bartlett CDP, New Hampshire",148,101,85.1,18.4,148,101,85.1,18.4,33,49,19.0,26.4,74,68,74.0,31.4,74,68,74.0,31.4,74,68,74.0,31.4,89,56,85.6,21.9,37573,22934,(X),(X),33,49,31.7,38.6,12264,5,(X),(X),18,28,17.3,24.8,2822,12,(X),(X),15,23,14.4,21.9,14087,15,(X),(X),0,85,0.0,24.7,-,**,(X),(X),18009,10490,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.3,51.5,(X),(X),50.0,50.0,(X),(X),-,**,(X),(X),0.0,49.6,(X),(X),0.0,73.6,(X),(X),-,**,(X),(X),100.0,73.6,(X),(X),100.0,73.6,(X),(X),-,**,(X),(X),73.8,64.4,(X),(X),73.8,64.4,(X),(X),66.0,66.0,(X),(X),29.9,34.0,(X),(X),-,**
1600000US3304660,3304660,"Belmont CDP, New Hampshire",596,206,54.5,10.4,596,206,54.5,10.4,11,19,1.0,1.8,246,107,40.2,15.5,246,107,40.2,15.5,235,107,38.4,15.4,403,123,74.6,13.0,47748,9647,(X),(X),245,114,45.4,16.8,16839,3398,(X),(X),112,49,20.7,10.4,17171,7934,(X),(X),58,63,10.7,11.5,12445,4945,(X),(X),19,31,3.5,5.7,2042,9,(X),(X),17211,3628,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),7.1,8.1,(X),(X),6.7,10.7,(X),(X),0.0,27.7,(X),(X),12.1,13.5,(X),(X),12.6,20.3,(X),(X),0.0,55.9,(X),(X),0.0,24.3,(X),(X),0.0,36.7,(X),(X),-,**,(X),(X),6.5,10.6,(X),(X),6.6,10.7,(X),(X),4.4,8.0,(X),(X),16.9,8.8,(X),(X),0.0,11.6
1600000US3304820,3304820,"Bennington CDP, New Hampshire",114,37,72.2,9.3,114,37,72.2,9.3,3,4,1.9,2.9,57,25,70.4,14.7,57,25,70.4,14.7,57,25,70.4,14.7,72,24,85.7,9.5,39801,8055,(X),(X),30,17,35.7,17.3,10440,2385,(X),(X),6,6,7.1,7.3,19833,15097,(X),(X),0,85,0.0,29.2,-,**,(X),(X),0,85,0.0,29.2,-,**,(X),(X),19550,4954,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.0,39.9,(X),(X),0.0,47.5,(X),(X),0.0,65.4,(X),(X),0.0,47.5,(X),(X),0.0,58.2,(X),(X),0.0,95.0,(X),(X),0.0,79.0,(X),(X),0.0,90.1,(X),(X),0.0,90.1,(X),(X),0.0,35.3,(X),(X),0.0,35.3,(X),(X),0.0,48.9,(X),(X),8.3,6.0,(X),(X),16.7,24.5
1600000US3305140,3305140,"Berlin city, New Hampshire",4831,349,56.2,4.4,4831,349,56.2,4.4,517,136,6.0,1.6,2175,207,52.8,4.8,2175,207,52.8,4.8,2029,197,49.3,4.7,3062,237,68.7,3.6,49669,4134,(X),(X),1843,183,41.4,3.7,14669,861,(X),(X),1099,147,24.7,3.4,11949,1832,(X),(X),234,99,5.3,2.3,11048,3228,(X),(X),198,97,4.4,2.2,3945,1556,(X),(X),20418,1271,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),10.3,3.7,(X),(X),19.9,8.0,(X),(X),18.1,13.6,(X),(X),4.7,3.0,(X),(X),7.7,6.9,(X),(X),0.0,15.0,(X),(X),42.1,13.2,(X),(X),56.7,18.7,(X),(X),43.9,43.2,(X),(X),26.1,10.1,(X),(X),26.1,10.1,(X),(X),27.9,10.8,(X),(X),13.4,3.0,(X),(X),7.5,2.9
1600000US3305380,3305380,"Bethlehem CDP, New Hampshire",581,143,78.5,7.9,581,143,78.5,7.9,17,17,2.3,2.3,280,84,74.1,12.7,280,84,74.1,12.7,271,82,71.7,12.5,375,95,89.9,5.7,51810,10703,(X),(X),56,30,13.4,7.1,16338,3607,(X),(X),42,28,10.1,6.4,10383,4942,(X),(X),5,7,1.2,1.8,18660,30,(X),(X),0,85,0.0,6.9,-,**,(X),(X),21841,4387,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.4,15.5,(X),(X),24.6,27.1,(X),(X),0.0,65.4,(X),(X),13.5,16.7,(X),(X),29.1,30.7,(X),(X),0.0,65.4,(X),(X),-,**,(X),(X),-,**,(X),(X),-,**,(X),(X),24.3,22.9,(X),(X),24.3,22.9,(X),(X),22.4,21.8,(X),(X),15.6,10.3,(X),(X),8.3,13.4
1600000US3306020,3306020,"Blodgett Landing CDP, New Hampshire",26,27,52.0,36.2,26,27,52.0,36.2,0,85,0.0,40.3,21,24,55.3,41.7,21,24,55.3,41.7,21,24,55.3,41.7,13,13,40.6,34.9,59615,42729,(X),(X),13,11,40.6,30.7,21746,11573,(X),(X),0,85,0.0,50.4,-,**,(X),(X),0,85,0.0,50.4,-,**,(X),(X),6,8,18.8,27.7,217,29,(X),(X),18001,17350,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.0,63.7,(X),(X),0.0,100.0,(X),(X),-,**,(X),(X),0.0,82.3,(X),(X),-,**,(X),(X),-,**,(X),(X),0.0,100.0,(X),(X),0.0,100.0,(X),(X),-,**,(X),(X),0.0,54.8,(X),(X),0.0,54.8,(X),(X),0.0,65.4,(X),(X),12.0,19.2,(X),(X),25.0,32.5
1600000US3306900,3306900,"Bradford CDP, New Hampshire",153,55,69.5,13.3,153,55,69.5,13.3,7,7,3.2,3.2,63,31,62.4,18.6,63,31,62.4,18.6,63,31,62.4,18.6,86,29,72.9,16.8,64541,15236,(X),(X),33,19,28.0,15.4,9939,3788,(X),(X),31,19,26.3,15.4,27832,12231,(X),(X),0,85,0.0,22.2,-,**,(X),(X),4,5,3.4,4.6,1150,66,(X),(X),25983,5826,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.0,32.0,(X),(X),0.0,45.1,(X),(X),0.0,90.1,(X),(X),0.0,33.0,(X),(X),0.0,45.1,(X),(X),0.0,90.1,(X),(X),-,**,(X),(X),-,**,(X),(X),-,**,(X),(X),0.0,36.3,(X),(X),0.0,36.3,(X),(X),0.0,47.5,(X),(X),8.9,9.6,(X),(X),23.7,33.7
1600000US3307620,3307620,"Bristol CDP, New Hampshire",771,171,56.2,8.6,771,171,56.2,8.6,18,20,1.3,1.5,436,109,56.6,11.0,436,109,56.6,11.0,428,107,55.6,10.8,545,111,66.8,9.1,44425,7888,(X),(X),311,100,38.1,9.4,14288,2172,(X),(X),200,90,24.5,10.0,16561,6263,(X),(X),31,28,3.8,3.4,9352,1747,(X),(X),51,45,6.3,5.5,5639,4866,(X),(X),20328,3197,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),8.2,7.0,(X),(X),15.0,15.4,(X),(X),-,**,(X),(X),8.3,8.4,(X),(X),18.1,24.3,(X),(X),-,**,(X),(X),9.3,16.4,(X),(X),13.9,21.7,(X),(X),-,**,(X),(X),27.5,25.8,(X),(X),27.5,25.8,(X),(X),29.6,27.0,(X),(X),14.1,6.5,(X),(X),18.4,16.7
1600000US3308900,3308900,"Canaan CDP, New Hampshire",232,72,50.5,14.3,232,72,50.5,14.3,18,20,3.9,4.5,111,54,53.6,12.5,111,54,53.6,12.5,111,54,53.6,12.5,153,59,69.9,15.8,55231,21801,(X),(X),152,77,69.4,19.4,16294,3754,(X),(X),49,32,22.4,15.2,5473,2787,(X),(X),0,85,0.0,12.8,-,**,(X),(X),0,85,0.0,12.8,-,**,(X),(X),22398,6105,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),16.0,21.0,(X),(X),11.7,22.2,(X),(X),-,**,(X),(X),22.9,28.2,(X),(X),18.2,29.3,(X),(X),-,**,(X),(X),0.0,100.0,(X),(X),-,**,(X),(X),-,**,(X),(X),10.3,20.3,(X),(X),10.3,20.3,(X),(X),10.3,20.3,(X),(X),16.2,16.8,(X),(X),10.8,18.1
1600000US3310820,3310820,"Center Ossipee CDP, New Hampshire",206,134,55.1,15.4,206,134,55.1,15.4,0,85,0.0,7.7,112,74,51.6,19.4,112,74,51.6,19.4,112,74,51.6,19.4,121,65,74.2,19.9,71922,27671,(X),(X),42,32,25.8,19.9,14621,1748,(X),(X),10,16,6.1,9.9,1340,17,(X),(X),10,16,6.1,9.9,12590,23,(X),(X),0,85,0.0,16.7,-,**,(X),(X),17245,6265,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.0,27.5,(X),(X),0.0,27.5,(X),(X),-,**,(X),(X),0.0,29.7,(X),(X),0.0,29.7,(X),(X),-,**,(X),(X),0.0,95.0,(X),(X),0.0,95.0,(X),(X),-,**,(X),(X),0.0,11.3,(X),(X),0.0,11.3,(X),(X),0.0,11.3,(X),(X),7.4,7.1,(X),(X),12.5,13.1
1600000US3310900,3310900,"Center Sandwich CDP, New Hampshire",41,20,50.0,15.8,41,20,50.0,15.8,0,85,0.0,29.7,27,13,45.8,14.4,27,13,45.8,14.4,27,13,45.8,14.4,34,15,61.8,15.2,46276,18312,(X),(X),31,12,56.4,17.5,15439,4883,(X),(X),23,13,41.8,17.5,27974,6707,(X),(X),0,85,0.0,38.4,-,**,(X),(X),0,85,0.0,38.4,-,**,(X),(X),31957,6845,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),13.3,22.8,(X),(X),0.0,100.0,(X),(X),-,**,(X),(X),0.0,65.4,(X),(X),-,**,(X),(X),-,**,(X),(X),36.4,48.2,(X),(X),0.0,100.0,(X),(X),-,**,(X),(X),0.0,95.0,(X),(X),0.0,95.0,(X),(X),0.0,95.0,(X),(X),19.5,20.4,(X),(X),27.0,30.1
1600000US3311300,3311300,"Charlestown CDP, New Hampshire",536,181,71.9,12.1,536,181,71.9,12.1,0,85,0.0,3.9,334,124,79.7,13.9,334,124,79.7,13.9,334,124,79.7,13.9,407,143,93.8,7.8,52699,8694,(X),(X),104,67,24.0,15.6,10648,2289,(X),(X),89,85,20.5,18.2,6215,4313,(X),(X),53,63,12.2,14.6,11019,2646,(X),(X),0,85,0.0,6.7,-,**,(X),(X),26651,4479,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),9.4,12.8,(X),(X),22.1,29.2,(X),(X),100.0,52.9,(X),(X),0.0,13.2,(X),(X),0.0,48.2,(X),(X),-,**,(X),(X),42.0,58.0,(X),(X),42.0,58.0,(X),(X),100.0,52.9,(X),(X),21.1,21.6,(X),(X),15.6,22.5,(X),(X),0.0,19.8,(X),(X),6.2,6.2,(X),(X),0.0,43.5
1600000US3312900,3312900,"Claremont city, New Hampshire",7109,298,66.2,2.7,7109,298,66.2,2.7,626,175,5.8,1.6,3445,247,62.2,3.7,3445,247,62.2,3.7,3159,245,57.1,3.8,4350,190,75.4,2.7,52467,4394,(X),(X),2052,228,35.6,3.8,15737,854,(X),(X),949,143,16.5,2.4,12114,3008,(X),(X),421,144,7.3,2.5,7058,861,(X),(X),406,137,7.0,2.3,3687,1428,(X),(X),21853,1405,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),13.1,4.5,(X),(X),22.7,7.8,(X),(X),50.7,18.6,(X),(X),2.9,2.5,(X),(X),2.8,3.3,(X),(X),0.0,20.2,(X),(X),35.8,13.1,(X),(X),45.2,16.9,(X),(X),77.4,24.1,(X),(X),21.2,7.8,(X),(X),17.8,7.5,(X),(X),9.3,6.0,(X),(X),13.8,3.1,(X),(X),6.4,2.9
